"","x1","status","year","month","day","name","alt_name_number_1","alt_name_number_2","alt_name_number_3","order","victims_race","victims_sex","victims_age","fips_lynch","lynch_county","lynch_state","fips_mob","mob_county","mob_state","method_of_death","accusation","accusation_code","mob_size","mob_size_code","appalachia","brundage_inventory","caldwell_de_lord","carrigan","carrigan_webb","chicago_tribune","comp_of_mob","creation","custody","daniel_williams_tuskegee","eji","horrific_torture","jones","modified","moore","naacp","newkirk","notable","notes","orr_klopfer","other","pfeifer","photo","place","post_mort_codes","post_mort_desc","problem_flag","resident_status","time_of_lynching","tolnay_beck","torture","torture_codes","verification","verified","wright","status_clean","decade"
"3993",3993,"Lynching",1884,2,3,"Peter Bland",NA,NA,NA,"1 of 1","Black","Male",NA,51101,"King William","VA",51101,"King William","VA","Hanged and shot","Assault on a white man, his employer","6","12-15",2,NA,"Peter Bland, 2/5/1884, King William Co., Black, Assault","INAP","INAP","INAP","[Relevant text torn and missing]","Masked","05/13/2011","Yes","Peter Bland, 2/5/1884, King William, King William Co., White, Murder and robbery","Peter Bland, 2/5/1884, King William Co., Black, Homicide",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"According to the Dispatch, Bland was taken from his jail cell and hanged “on a horse rack in the back of the Clerk’s office”. He was accused of assaulting a Mr. Little Page on whose farm Bland was a tenant. Bland had already been sentenced to 14 years in the penitentiary—this is a very detailed report. From the Herald, “Richmond, Va., Feb. 5, 1884.—Peter Bland, a negro, was lynched at King William Court House on Sunday night or Monday morning [3th or 4th]. Bland was convicted of maming a white man last election day and was sentenced to ten years in the Penitentiary. He was taken from the jail and hanged to a tree. His body was found with a number of buck shot wounds in it.” According to the Republican, on Sunday [3rd] “... twelve or fifteen masked men ...” removed Bland from jail and hanged him and shot him with buckshot after being hanged.

Note: couldn’t find in NewspaperArchive.com.","INAP",NA,"INAP",NA,"Courthouse in King William","6","Shot with buckshot",NA,"No indication of being stranger or marginalized. A farm tenant.","Night","Tolnay-Beck inventory did not include Virginia","None reported","0","Richmond Dispatch 2/6/1884, p. 3 Newspapers.com)
New York (NY) Herald 2/6/1884, p. 5 (GenealogyBank.com)
Washington (DC) National Republican 2/6/1884, p. 1 (Newspapers.com)
Staunton Spectator 2/12/1884, p. 2 (Newspapers.com)","Yes","INAP","lynching","1880"
"3994",3994,"Lynching",1884,2,3,"Sandy Robinson",NA,NA,NA,"1 of 1","Black","Male",NA,48225,"Houston","TX",48289,"Leon","TX","Hanged","Murder of a white man","4","75-100",3,NA,"INAP","Sandy Robinson, 2/3/1884, Black, Houston County, Murder, Hanged","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","[Relevant text torn and missing]","Masked","06/24/2018","Yes","Sandy Robinson, 2/3/1884, Crockett, Houston Co., Negro, Murder","Sandy Robinson, 2/3/1884, Houston Co., Black, Homicide",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the 2/4 News, “Crockett, February 3.—This morning about 1 o’clock a crowd of masked men, numbering between seventy-five and one hundred, took Sandy Robinson, the negro who killed James Lathrop, in Leon county, from our jail and hanged him near the graveyard, out near the edge of town; and it is supposed that he crowd came from a distance, as they came on horses. Late yesterday evening it seems that the sheriff got wind of the intention and summoned a guard of ten or more to stay at the jail, but there were only about six men besides the sheriff at the jail when the crowd came. Mr. Bayne begged the crowed not to take the prisoner out, but they overpowered him, and took the keys from him. Bayne succeeded in drawing his pistol,which was fired off in the scuffle. No one was hurt. There were about ten other prisoners in jail at the time, none of whom were molested.” The same story appears in the Gazette. According to the Banner, “—The excitement at Crockett about the lynching of the negro, Sandy Robinson, has about died out, and people are turning their attention to other and more profitable matters.” The Ocean lists of lynch victims: “February [1884]. 3. Sandy Robinson, colored, murder of James Lathrop, Crockett, Texas.”

Note: going to assume that the mob was from Leon Co.","INAP","Lynching in Texas Staff, “Lynching of ""Sandy"" Robinson,” Lynching In Texas, accessed November 18, 2018, http://lynchingintexas.org/items/show/574","INAP",NA,"Near graveyard in Crockett","0","None reported",NA,"No indication of being a stranger or marginalized","1:00 AM","Original Tolnay-Beck inventory did not include Texas","None reported","0","Galveston Daily News 2/4/1884, p. 1 (Newspapers.com)
Fort Worth Daily Gazette 2/4/1884, p. 2 (Newspapers.com)
Galveston Daily News 2/5/1884, p. 1 (Newspapers.com)
Brenham Weekly Banner 2/21/1884, p. 1 (Newspapers.com)
Chicago (IL) Inter Ocean 1/2/1885, p. 3 (Newspapers.com)","Yes","INAP","lynching","1880"
"3995",3995,"Coincidental death",1884,2,9,"Frank Hall",NA,NA,NA,"2 of 2","White-Anglo","Male",NA,5051,"Garland","AR",5051,"Garland","AR","Shot","Altercation with white men over gambling debt","6","7",1,NA,"INAP","INAP","INAP","INAP","Not in Chicago Tribune inventory",NA,"06/12/2016",NA,"Not in Williams inventory","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:54:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Dispatch, “Hot Springs, Ark., February 9.—A terrible tragedy was enacted on the main street this morning at about 11 o’clock. Three brothers—name Frank, Jack, and William Flynn—were proceeding home in a hack when a party of seven men, armed with doubled-barrelled shotguns and Winchester rifles, stepped out from the door of a saloon and opened fire. The Flynns were armed, but the attack was totally unexpected. Jack Flynn was shot shot through the forehead by a ball from a Winchester rifle, and died in a few minutes. William was shot through the breast, and the wound will probably prove fatal. Frank [Flynn] received a shot through the hand, inflicting a slight wound. Frank Hall, the driver of the hack, was shot through the back of the neck, and died an hour afterward. Robert Hargreave, a bystander, was shot through the breast, and will probably die. J. H. Craig, a prominent lumberman, received a charge of buck-shot through the back, and his condition is considered precarious.”—the seven killers were arrested and have been threatened with lynching. The same report appears in the Charlotte Democrat with a different spelling for Robert Hargrave. According to the Critic, Frank Flynn was saved from being killed by a coat of mail; Frank Hall was not dead but is in precarious condition; Hargrove is also precarious but Craig will likely cover; “John Flynn’s remains were interred yesterday [10th].” The Arkansas Democrat states that William and Frank Flynn have been moved to the state prison for safe keeping. According to the 3/5 Gazette, Frank Hall died on 3 March of his wounds. The 3/13 Gazette states that Robert Hargrove is suing for the wounds he received—clearly not head. Apparently Craig didn’t died either.","INAP",NA,"INAP",NA,"Main street in Hot Springs","0","None reported",NA,"No indication of being a strange or marginalized","11:00 AM","Not in original Tolnay-Beck inventory","None reported","0","Richmond (VA) Dispatch 2/10/1884, p. 3 (Newspapers.com)
Washington (DC) Critic 2/11/1884, p. 1 (Newspapers.com)
Charlotte (NC) Democrat 2/15/1884, p. 2 (Newspapers.com)
Osceola Times 2/16/1884, p. 1 (Newspapers.com)
Little Rock Arkansas Democrat 3/5/1884, p. 1 (Newspapers.com)
Little Rock Daily Arkansas Gazette 3/5/1884, p. 1 (Newspapers.com)
Little Rock Daily Arkansas Gazette 3/13/1884, p. 1 (Newspapers.com)","Yes","INAP","coincidental death","1880"
"3996",3996,"Probable lynching",1884,2,9,"John Flynn","Jack Flynn",NA,NA,"1 of 2","White-Anglo","Male",NA,5051,"Garland","AR",5051,"Garland","AR","Shot","Altercation with white men over gambling debt","6","7",1,NA,"INAP","INAP","INAP","INAP","Not in Chicago Tribune inventory",NA,"06/12/2016",NA,"Not in Williams inventory","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:54:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Dispatch, “Hot Springs, Ark., February 9.—A terrible tragedy was enacted on the main street this morning at about 11 o’clock. Three brothers—name Frank, Jack, and William Flynn—were proceeding home in a hack when a party of seven men, armed with doubled-barrelled shotguns and Winchester rifles, stepped out from the door of a saloon and opened fire. The Flynns were armed, but the attack was totally unexpected. Jack Flynn was shot shot through the forehead by a ball from a Winchester rifle, and died in a few minutes. William was shot through the breast, and the wound will probably prove fatal. Frank [Flynn] received a shot through the hand, inflicting a slight wound. Frank Hall, the driver of the hack, was shot through the back of the neck, and died an hour afterward. Robert Hargreave, a bystander, was shot through the breast, and will probably die. J. H. Craig, a prominent lumberman, received a charge of buck-shot through the back, and his condition is considered precarious.”—the seven killers were arrested and have been threatened with lynching. The same report appears in the Charlotte Democrat with a different spelling for Robert Hargrave. According to the Critic, Frank Flynn was saved from being killed by a coat of mail; Frank Hall was not dead but is in precarious condition; Hargrove is also precarious but Craig will likely cover; “John Flynn’s remains were interred yesterday [10th].” The Arkansas Democrat states that William and Frank Flynn have been moved to the state prison for safe keeping. According to the 3/5 Gazette, Frank Hall died on 3 March of his wounds. The 3/13 Gazette states that Robert Hargrove is suing for the wounds he received—clearly not head. Apparently Craig didn’t died either.","INAP",NA,"INAP",NA,"Main street in Hot Springs","0","None reported",NA,"No indication of being a strange or marginalized","11:00 AM","Not in original Tolnay-Beck inventory","None reported","0","Richmond (VA) Dispatch 2/10/1884, p. 3 (Newspapers.com)
Washington (DC) Critic 2/11/1884, p. 1 (Newspapers.com)
Charlotte (NC) Democrat 2/15/1884, p. 2 (Newspapers.com)
Osceola Times 2/16/1884, p. 1 (Newspapers.com)
Little Rock Arkansas Democrat 3/5/1884, p. 1 (Newspapers.com)
Little Rock Daily Arkansas Gazette 3/5/1884, p. 1 (Newspapers.com)
Little Rock Daily Arkansas Gazette 3/13/1884, p. 1 (Newspapers.com)","Yes","INAP","probable lynching","1880"
"3997",3997,"Lynching",1884,2,17,"Thomas Wilson","Tom Wilson","Thoman Wilson",NA,"1 of 1","Black","Male",NA,5045,"Faulkner","AR",5045,"Faulkner","AR","Hanged","Attempted rape of a married white woman, farmer’s wife","1","“body”",2,NA,"INAP","INAP","INAP","INAP","[Relevant text torn and missing]  _ape, Little Rock","Masked","05/13/2011","Yes","Thoman Wilson, 2/20/1884, Little Rock, Palaski Co., Negro, Rape","Thomas Wilson, 2/20/1884, Faulkner Co., Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Gazette, “Tom Wilson, colored, was lynched in Faulkner county several days ago since for an assault on Mrs. Griffy during her husband’s absence from his farm. He had been detected before he could accomplish his purpose, and after examination before a justice, a constable started for Conway [Faulkner Co.] with him, but a body of masked men overtook them and hung the miscreant to the limb of an oak tree.” From the Register, “Thomas Wilson, colored, was lynched in Arkansas, about thirty miles north of Little Rock yesterday, for committing an assault on the wife of a planter named Griffy.” According to the Courier-Journal he was taken from the Constable at 10:00 p.m. “by a body of masked men”. The Times-Democrat reports that the was lynched 20 miles north of Little Rock.

Note: date of the 17th is guess. Couldn’t find in GenealogyBank.com.","INAP",NA,"INAP",NA,"20 miles N of Little Rock","0","None reported",NA,"No indication of being a stranger or marginalized","10:00 PM","Thoman Wilson, 2/20/1884, Faulkner Co., Black Male, Attempted rape","None reported","0","Little Rock Daily Arkansas Gazette 2/21/1884, p. 8
Louisville (KY) Courier-Journal 2/21/1884, p. 2 (Newspapers.com)
New Orleans (LA) Times-Democrat 2/23/1884, p. 2 (Newspapers.com)
Iola (KS) Register 2/29/1884, p. 2 (ChroniclingAmerica.loc.gov)","Yes","INAP","lynching","1880"
"3998",3998,"Lynching",1884,2,18,"Hughie Conerly","Huie Conerly",NA,NA,"1 of 1","Black","Male","16",22117,"Washington","LA",22117,"Washington","LA","Hanged","Outraging a 60 year-old white woman","1","10-15",2,NA,"INAP","INAP","INAP","INAP","Not in Chicago Tribune inventory",NA,"06/12/2016","Yes","Not in Williams inventory","Not in EJI inventory",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Times-Democrat, “A Lynching Affair at Franklinton, La. Franklinton, Feb. 19.—Last night Hughie Conerly, colored, aged sixteen years, was taken from the jail here by a body of men and hung. He was accused of outraging a white woman. The parties doing the hanging left a notice at the jail to the effect that the law was not rigid enough, and too slow in meting justice to criminals, and, that in order to protect their families, they had formed themselves into a regulating and vigilance committee to bring to justice all criminals.” Essentially the same story appears in the Independent with the note that the was taken from jail at night and carried a “short distance” and hanged. In the Farmer’s report, the victim is Huie Conerly. The Times-Picayune says the mob numbered 10-15, and that they hung him from the jail steps.","INAP",NA,"Not in Pfeifer inventory",NA,"Jail in Franklinton","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Not in original Tolnay-Beck inventory","None reported","0","New Orleans Times-Democrat 2/23/1884, p. 2 (Newspapers.com)
Covington St. Tammany Farmer 2/23/1884, p. 2 (ChroniclingAmerica.loc.gov; Newspapers.com)
Harrisburg (PA) Daily Independent 2/23/1884, p. 1 (Newspapers.com)
New Orleans Times-Picayune 2/27/1884, p. 7 (Newspapers.com)","Yes","INAP","lynching","1880"
"3999",3999,"Lynching",1884,2,19,"Benjamin McElroy","Ben McElroy",NA,NA,"1 of 2","Black","Male",NA,21155,"Marion","KY",21155,"Marion","KY","Hanged","Assaulting a white woman, possibly a prostitute","1","50",3,NA,"INAP","INAP","INAP","INAP","[Relevant text torn and missing]",NA,"05/11/2011","Yes","Not in Williams inventory","Not in EJI inventory",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP","Yes","The Times reports, dateline Lebanon, that Benjamin McElroy and Pinten Young were taken from the jail by a mob of 50 men, carried to the railroad turntable, and hanged. From the Journal, “Last Saturday, Sarah Cribben was assaulted and terribly outraged by two negroes, Ben McElroy and Peyton Young, near Lebanon. The men were arrested and lodged in jail on Monday [18th] and on Tuesday afternoon had their examining trials and were held for further trial. That night a mob of 50 broke down two of the jail doors and were going for the others with sledge hammers, when they got hold of the keys and succeeded in getting the men, whom they quietly marched off to the railroad turntable and hung to a cross-beam. ... It is said that the woman was a prostitute, with three bastard children, and that she had lived with a negro man and while these facts did not give the negroes the right to assault her, there was less excuse for a mob than if she had been virtuous. Men are too anxious to take the law into their own hands, especially if the victim is a negro.”","INAP",NA,"INAP",NA,"Railroad turn-table in Lebanon","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Not in original Tolnay-Beck inventory","None reported","0","New York (NY) Times 2/21/1884, p. 5 (Ancestry.com)
Stanford Semi-Weekly Interior Journal 2/22/1884, p. 2 (ChroniclingAmerica.loc.gov)","Yes","Not in Wright inventory","lynching","1880"
"4000",4000,"Lynching",1884,2,19,"Pinten Young","Peyton Young",NA,NA,"2 of 2","Black","Male",NA,21155,"Marion","KY",21155,"Marion","KY","Hanged","Assaulting a white woman, possibly a prostitute","1","50",3,NA,"INAP","INAP","INAP","INAP","[Relevant text torn and missing]",NA,"05/11/2011","Yes","Not in Williams inventory","Not in EJI inventory",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP","Yes","The Times reports, dateline Lebanon, that Benjamin McElroy and Pinten Young were taken from the jail by a mob of 50 men, carried to the railroad turntable, and hanged. From the Journal, “Last Saturday, Sarah Cribben was assaulted and terribly outraged by two negroes, Ben McElroy and Peyton Young, near Lebanon. The men were arrested and lodged in jail on Monday [18th] and on Tuesday afternoon had their examining trials and were held for further trial. That night a mob of 50 broke down two of the jail doors and were going for the others with sledge hammers, when they got hold of the keys and succeeded in getting the men, whom they quietly marched off to the railroad turntable and hung to a cross-beam. ... It is said that the woman was a prostitute, with three bastard children, and that she had lived with a negro man and while these facts did not give the negroes the right to assault her, there was less excuse for a mob than if she had been virtuous. Men are too anxious to take the law into their own hands, especially if the victim is a negro.”","INAP",NA,"INAP",NA,"Railroad turn-table in Lebanon","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Not in original Tolnay-Beck inventory","None reported","0","New York (NY) Times 2/21/1884, p. 5 (Ancestry.com)
Stanford Semi-Weekly Interior Journal 2/22/1884, p. 2 (ChroniclingAmerica.loc.gov)","Yes","Not in Wright inventory","lynching","1880"
"4001",4001,"Lynching",1884,3,25,"William Johnson","Bill Johnson","Bill Burleson","William Burleson","1 of 1","Black","Male",NA,48177,"Gonzales","TX",48177,"Gonzales","TX","Hanged","Attempted assault on a married white (German) woman","1","150",4,NA,"INAP","Bill Burleson, 3/25/1884, Black, Conzales County, Attempted outrage, Hanged","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","William Johnson, 3/25/1884, colored, outrage",NA,"06/24/2018","Yes","William Johnson, 3/25/1884, Unknown location, Negro, Rape","Not in EJI inventory",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"According to the News, dateline Gonzales, 17 March, a black man has been arrested and jailed in Gonzales for the “attempted outrage upon the German lady, near Waelder, last Tuesday.” From the Tribune, “Fort Worth, Tex., March 25.—(Special.)—A special to the Gazette from Gonzales says that examining trial of Bill Johnson, the negro who attempted to commit rape on Mrs. Knoeppa, a German woman living between Harwood and Walder, Thursday, March 6, came up today before ‘Squire Collins, Justice of the Peace. About an hour before the trial it was rumored that an armed force of 150 men were coming to take the prisoner. A posse brought him from the jail to the court-house. ... [after the examining trial] ... The posse started with him to the jail and were met by an armed force. They then brought him back to the court-house, and after the crowed departed he was taken to the jail. The crowd then rushed over the guard and surrounded the jail. The officers did all in their power, but could not withstand the crowd, who at 3 o’clock took the prisoner out about half a mile and hanged him. ... The mob that hanged him was sober, but determined from the moment of his identification that he should hang.” Essentially the same story appears in the Gazette.","INAP","Lynching in Texas Staff, “Lynching of William Burleson,” Lynching In Texas, accessed February 7, 2019, http://lynchingintexas.org/items/show/239","INAP",NA,"0.5 miles from Gonzales, in the black graveyard","0","None reported",NA,"No indication of being a stranger or marginalized","3:00 PM","Original Tolnay-Beck inventory did not include Texas","None reported","0","Galveston Daily News 3/18/1884, p. 1 (Newspapers.com)
Chicago (IL) Tribune 3/26/1884, p. 6 (Newspapers.com)
Fort Worth Daily Gazette 3/26/1884, p. 2 (Newspapers.com)","Yes","INAP","lynching","1880"
"4002",4002,"Lynching",1884,4,1,"Erwin McCullough","Edward McCulloch","__win McCulloch",NA,"1 of 1","Black","Male",NA,37071,"Gaston","NC",37071,"Gaston","NC","Hanged","Murder of his white employer, a prominent young man","4","50",3,NA,"INAP","INAP","INAP","INAP","__win McCulloch, 4/_/1884, Dallas, Colored, Murder","Masked","05/13/2011","Yes","Edward McCulloch, 4/1/1884, Dallas, Gaston Co., Negro, Murder","Edward McCulloch, 4/1/1884, Gaston Co., Black, Homicide",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","Erwin MCullough, 4/1/1884, Gaston Co., Black Male, Murder",NA,"The Landmark reports that Erwin McCullough was taken to jail in Gaston Co. and that at midnight on Monday (that could have been either 3/31 or 4/1) a “large number” of disguised men took McCullough and hanged him. The Times states that he was taken from the jail in Dallas by a mob of about 50 and hanged 0.5 mile away; he was accused of killing Thomas Wilson, “a prominent young man of Gaston Co.” The Courier, Recorder, and Enquirer-Sun stories add nothing.","INAP",NA,"INAP",NA,"0.5 mile from the jail in Dallas","0","None reported",NA,"No indication of being a stranger or marginalized","Midnight","Erwin McCullough, 4/1/1884, Gaston Co., Black Male, Murder","None reported","0","New York (NY) Times 4/2/1884, p. 1 (Ancestry.com)
Charleston (SC) News and Courier 4/2/1884, p. 1
Columbus (GA) Enquirer-Sun 4/2/1884, p. 1 (Columbus Historic Newspapers)
Statesville Landmark 4/4/1884, p. 2 (Ancestry.com)
Macon (GA) Telegraph and Messenger 4/4/1884, p. 1 (Macon Historic Newspapers)
Milledgeville (GA) Union and Recorder 4/8/1884, p. 1 (Milledgeville Historic Newspapers)","Yes","INAP","lynching","1880"
"4003",4003,"Lynching",1884,4,1,"Frank Elliott","Frank Elliot",NA,NA,"1 of 1","Black","Male",NA,45091,"York","SC",45091,"York","SC","Hanged","Assault on a 5 year-old white girl, daughter of a prominent citizen","1","“a great crowd”",3,NA,"INAP","INAP","INAP","INAP","Frank Elliot, 4/1/1884, York, Colored, Rape","Masked","05/13/2011","Yes","Frank Elliot, 4/1/1884, York, York Co., Negro, Rape","Frank Elliott, 4/1/1884, York Co., Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:33","Frank Elliott, 4/1/1884, York Co., Black, Sex assault","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"According to the Landmark (citing the Charlotte Observer), Frank Elliott outraged a little five-year-old daughter of a prominent citizen. He was captured and placed in jail in Rock Hill. “A great crowd” took him from the jail to the edge of town, and hanged him. The Times reports that a sign on his dead body: “Our daughters we will protect”.","INAP",NA,"INAP",NA,"Outskirts of Rock Hill","0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Frank Elliott, 4/1/1884, York Co., Black Male, Assaulted girl (rape)","None reported","0","Charleston News and Courier 4/2/1884, p. 1
New York (NY) Times 4/2/1884, p. 1 (Ancestry.com)
Richmond (VA) Dispatch 4/2/1884, p. 3 (Newspapers.com)
Statesville (NC) Landmark 4/4/1884, p. 2 (Ancestry.com)","Yes","INAP","lynching","1880"
"4004",4004,"Lynching",1884,4,4,"George Lee",NA,NA,NA,"1 of 1","Black","Male","18",28113,"Pike","MS",28113,"Pike","MS","Hanged","Outraging a 4 year-old white girl","1","100+",4,NA,"INAP","INAP","INAP","INAP","George Lee, [date torn from text]/1884, Magnolia, Colored, Rape",NA,"05/13/2011","Yes","George Lee, 4/4/1884, Magnolia, Pike Co., Negro, Rape","George Lee, 4/4/1884, Pike Co., Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:33","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The Avalanche reports that George Lee, 18, was arrested in McComb City for “assaulting” a 4 year-old child and taken to the jail in Magnolia. At 7:00 p.m., a mob of 100 from McComb took him from jail and hanged him. McComb City and Magnolia are both in Pike Co. From the Constitution, “McComb City, April 11.—A negro George Lee, eighteen years old, was arrested here for an outrage on a girl of four years, and lodged in jail at Magnolia. About 7 o’clock a mob of over a hundred went there and took the prisoner from the jail, thence back here, where they hanged him.” The Recorder report adds nothing.","George Lee, 4/4/1884, Pike Co., Black Male, Rape",NA,"INAP",NA,"Magnolia","0","None reported",NA,"No indication of being a stranger or marginalized","7:00 PM","George Lee, 4/4/1884, Pike Co., Black Male, Rape","None reported","0","Memphis (TN) Daily Avalanche 4/5/1884, p. 1
Louisville (KY) Courier-Journal 4/5/1884, p. 2 (Newspapers.com)
Atlanta (GA) Weekly Constitution 4/15/1884, p. 5 (Atlanta Historic Newspapers)
Milledgeville (GA) Union and Recorder 4/15/1884, p. 2 (Milledgeville Historic Newspapers)","Yes","INAP","lynching","1880"
"4005",4005,"Lynching",1884,4,8,"W. B. Garrison","— Garrison",NA,NA,"1 of 1","White-Anglo","Male",NA,48193,"Hamilton","TX",48193,"Hamilton","TX","Hanged","Horse theft","7","50-100",3,NA,"INAP","W. B. Garrison, 4/8/1884, Race not specified, Coryell County, Horse theft, Hanged","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","— Garrison, 4/_/1884, Hamilton, horse-thief",NA,"06/24/2018","Yes","— Garrison, 4/11/1884, Hamilton, Hamilton Co., white, Horse thief","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:54:20","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Statesman, “Gatesville [Coryell Co.], April 8.—... W. B. Garrison, in the Hamilton jail for horse-stealing, was taken out of that jail last night [7th] and hung. The mob was large and very orderly and quiet. There are five prisoners in the jail here who were captured at the same time Garrison was, and fears are entertained that the mob will visit this place to-night. There has been a great deal of stealing in this country, and the people are justly enraged.” The same story appears in the Weekly Statesman of the 10th and several out-of-state newspapers. According to the News, “Hamilton, April 10—Tuesday [8th], about midnight, a large party of men, estimated variously at from fifty to one hundred, took possession of the business portion of this town, including the court-house, public square, county jail and all their approaches,  and in a few minutes broke an opening into the jail at a window, took out the prisoner Garrison, who was being held for examination on charges of horse-theft, and hanged him to a tree in the outskirts of the village. ... It is said that he has been a resident of the county since June last, and in that time he fell under strong suspicion among his neighbors. Two young men arrested—one in Bosque county and one in Coryell [Co.]—for theft, gave him away as the leader and general manager of their gang.”

","INAP","Lynching in Texas Staff, “Lynching of W. B. Garrison,” Lynching In Texas, accessed July 18, 2018, http://lynchingintexas.org/items/show/240","INAP",NA,"Outskirts of Hamilton","0","None reported",NA,"No indication of being a stranger or marginalized. Only recently moved into the community according to the News.","Night","Original Tolnay-Beck inventory did not include Texas","None reported","0","Austin Daily Statesman 4/9/1884, p. 1 (Newspapers.com has this as the American-Statesman)
Austin Weekly Statesman 4/10/1884, p. 1 (Newspapers.com)
Galveston Daily News 4/11/1884, p. 1 (Newspapers.com)","Yes","INAP","lynching","1880"
"4006",4006,"Lynching",1884,4,9,"Henry Kilburn","Kenry Kilburn",NA,NA,"1 of 2","White-Anglo","Male","50",21025,"Breathitt","KY",21025,"Breathitt","KY","Hanged","Murder of a white man","4","50",3,"Yes","INAP","INAP","INAP","INAP","Kenry Kilburn, 4/1884, Jackson, Murder","Masked","05/11/2011","Yes","Henry Kilburn, 4/15/1884, Jackson, Breathitt Co., White, Murder","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:10","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The Republican reports that Henry Kilburn and Ben Strong were taken from the courthouse in Jackson and hanged from the courthouse portico. There were accused of killing Wm. Thorp. The Courier-Journal states that there is rioting in Breathitt Co. over the lynching that happened last week — couldn’t find an earlier report 9-15 April. The Argus claims that “During Kilburn’s career he had killed eight men.” Also that Ben Strong was “colored”. According to the Gazette, “Mount Sterling, Ky., april 18.‚—Fifty masked men came ot Jackson, Breathitt County, on Wednesday night, and took form the jail Henry Kilburn, white, and Ben Strong, colored, and hanged them.”","INAP",NA,"INAP",NA,"Courthouse in Jackson","0","None reported",NA,"No indication of being a stranger or marginalized","After midnight","Henry Kilburn, 4/9/1884, Breathitt Co., White Male, Murder, [Uncertain]","None reported","0","Decatur (IL) Daily Republican 4/16/1884, p. 2 (Ancestry.com)
Louisville Courier-Journal 4/16/1884, p. 2 
Rockford (IL) Daily Gazette 4/16/1884, p. 2 (GenealogyBank.com)
Columbus (GA) Daily Enquirer-Sun 4/17/1884, p. 1 (Columbus Historic Newspapers)
New Philadelphia (OH) Argus 4/24/1884, p. 2 (a.k.a. Ohio Democrat in Ancestry.com)","Yes","Henry Kilburn, 4/1884, Jackson, Breathitt Co., White, Murder","lynching","1880"
