Newspapers|LCCN|OCLC|ISSN|State|County|City|Geo Location|Browse Digitized Issues|Number of Issues|First Issue|Last Issue|Essay Available|Languages|Ethnicity
Daily American Citizen (Kansas City, Kan.) 1898-1900|sn85066912|12994512||Kansas|Wyandotte|Kansas City|39.1127, -94.626804|https://www.loc.gov/item/sn85066912/?st=calendar|58|1898-12-15|1900-04-24|True|English|African American
Daily American Organ (Washington, D.C.) 1854-1856|sn85042002|11584698|2381-0238|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn85042002/?st=calendar|618|1854-11-13|1856-11-14|True|English|
Daily American Telegraph (Washington [D.C.]) 1851-1852|sn82014593|8786417|2381-0181|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn82014593/?st=calendar|271|1851-12-22|1852-11-18|True|English|
The Daily Appeal (Carson City, Nev.) 1906-1907|sn86076248|13758894|2474-6274|Nevada|Ormsby, Carson City|Carson City|39.16458, -119.766919|https://www.loc.gov/item/sn86076248/?st=calendar|314|1906-05-03|1907-07-08|True|English|
The Daily Ardmoreite (Ardmore, Okla.) 1893-Current|sn85042303|12101538|1065-7894|Oklahoma|Carter|Ardmore|34.1725992, -97.1283816|https://www.loc.gov/item/sn85042303/?st=calendar|8876|1893-10-29|1922-12-31|True|English|
The Daily Argus (Rock Island, Ill.) 1873-1877|sn92053942|26846306|2377-7028|Illinois|Rock Island County|Rock Island|41.472348, -90.583568|https://www.loc.gov/item/sn92053942/?st=calendar|1000|1873-12-08|1877-03-03|True|English|
Daily Arizona Silver Belt (Globe, Gila County, Ariz.) 1906-1929|sn87082863|16995217|2158-4680|Arizona|Gila|Globe, Miami|33.3964655, -110.8730844|https://www.loc.gov/item/sn87082863/?st=calendar|1037|1907-01-02|1910-05-26|True|English|
Daily Arkansawyer (Stuttgart, Ark.) 1909-191?|sn90050210|21916291||Arkansas|Arkansas|Stuttgart|34.5002189, -91.5525757|https://www.loc.gov/item/sn90050210/?st=calendar|4|1910-04-06|1912-06-17||English|
The Daily Astorian (Astoria, Or.) 1876-1883|sn96061149|35655683|2163-7911|Oregon|Clatsop|Astoria|46.1890904, -123.8347121|https://www.loc.gov/item/sn96061149/?st=calendar|1107|1876-05-01|1883-11-09|True|English|
The Daily Banner (Bennington, Vt.) 1891-1891|sn98060058|39008150|2331-8058|Vermont|Bennington|Bennington|42.8783665, -73.1971365|https://www.loc.gov/item/sn98060058/?st=calendar|1|1891-08-18|1891-08-18|True|English|
The Daily Banner (Cambridge, Md.) 1897-2008|sn88065731|18778410|2475-4293|Maryland|Dorchester|Cambridge|38.56177, -76.076001|https://www.loc.gov/item/sn88065731/?st=calendar|2047|1907-06-03|1922-12-30|True|English|
The Daily Bulletin (Dayton, Ohio) 1942-1946|sn84024221|11272712|2770-8713|Ohio|Montgomery|Dayton|39.760982, -84.192203|https://www.loc.gov/item/sn84024221/?st=calendar|612|1944-09-01|1946-09-27|True|English|African American
The Daily Bulletin (Winchester, Tenn) 1862-1863|sn85038523|12697312|2333-2948|Tennessee|Franklin|Winchester|35.1870785, -86.1115438|https://www.loc.gov/item/sn85038523/?st=calendar|67|1862-09-24|1863-01-28|True|English|
The Daily Bulletin (Honolulu [Hawaii]) 1882-1895|sn82016412|9313896|2157-2127|Hawaii|Honolulu|Honolulu|21.30992, -157.858158|https://www.loc.gov/item/sn82016412/?st=calendar|4088|1882-02-01|1895-05-15|True|English|
The Daily Butte Record (Oroville [Calif.]) 1858-187?|sn86058107|14200876|2693-177x|California|Butte|Chico, Oroville|39.512339, -121.554608|https://www.loc.gov/item/sn86058107/?st=calendar|186|1858-02-01|1858-09-11|True|English|
The Daily Cairo Bulletin (Cairo, Ill.) 1878-1???|sn87082573|15528437|2328-6016|Illinois|Alexander County|Cairo|37.003276, -89.173203|https://www.loc.gov/item/sn87082573/?st=calendar|1854|1878-05-02|1884-12-31|True|English|
Daily Camera (Boulder, Colo.) 1891-1928|sn84002889|3511682|0746-8733|Colorado|Boulder|Boulder|40.016871, -105.279624|https://www.loc.gov/item/sn84002889/?st=calendar|1525|1897-01-02|1901-12-31|True|English|
Daily Capital Journal (Salem, Or.) 1896-1899|sn99063955|42908513|2163-8519|Oregon|Marion|Salem|44.939016, -123.039307|https://www.loc.gov/item/sn99063955/?st=calendar|1086|1896-01-01|1899-06-29|True|English|
Daily Capital Journal (Salem, Oregon) 1903-1919|sn99063957|42946548|2163-8535|Oregon|Marion|Salem|44.939016, -123.039307|https://www.loc.gov/item/sn99063957/?st=calendar|4967|1903-11-25|1919-10-22|True|English|
The Daily Caucasian (Raleigh, N.C.) 1895-1895|sn91068236|24090083|2375-883x|North Carolina|Wake|Raleigh|35.7813033, -78.6416795|https://www.loc.gov/item/sn91068236/?st=calendar|7|1895-01-15|1895-03-14||English|
The Daily Chattanooga Rebel (Griffin, Ga.) 1864-1865|sn82014371|8793427|2328-5761|Alabama|Dallas, Spalding|Selma, Griffin|33.2444391, -84.2639358|https://www.loc.gov/item/sn82014371/?st=calendar|41|1864-06-09|1865-04-15|True|English|
The Daily Chattanooga Rebel (Griffin, Ga.) 1864-1865|sn82014371|8793427|2328-5761|Georgia|Dallas, Spalding|Selma, Griffin|33.2444391, -84.2639358|https://www.loc.gov/item/sn82014371/?st=calendar|41|1864-06-09|1865-04-15|True|English|
The Daily Chieftain (Vinita, Ind. Ter. [Okla.]) 1898-1902|sn93050700|29252612|2472-2952|Oklahoma|Craig|Vinita|36.6387618, -95.1544373|https://www.loc.gov/item/sn93050700/?st=calendar|1294|1898-10-03|1902-12-15|True|English|Indians of North America
Daily Cincinnati Republican (Cincinnati [Ohio]) 1838-1842|sn85025798|11901883||Ohio|Hamilton|Cincinnati|39.12711, -84.51439|https://www.loc.gov/item/sn85025798/?st=calendar|560|1840-09-07|1842-08-31|True|English|
The Daily Cincinnati Republican, and Commercial Register (Cincinnati, Ohio) 1833-1838|sn84045036|11378861||Ohio|Hamilton|Cincinnati|39.12711, -84.51439|https://www.loc.gov/item/sn84045036/?st=calendar|1293|1833-07-11|1837-12-30|True|English|
The Daily Citizen (Searcy, Ark.) 1890-1949|sn84009981|10502071|0747-0401|Arkansas|White|Searcy|35.250783, -91.736336|https://www.loc.gov/item/sn84009981/?st=calendar|6|1924-08-28|1926-12-17||English|
The Daily Citizen (Asheville, N.C.) 1889-1890|sn91068075|24092139|2374-8958|North Carolina|Buncombe|Asheville|35.5959111, -82.5500442|https://www.loc.gov/item/sn91068075/?st=calendar|200|1889-08-01|1890-03-31|True|English|
The Daily Clarion (Jackson, Miss.) 1866-1888|sn83045232|9390491|2469-4762|Mississippi|Hinds|Jackson|32.302897, -90.183488|https://www.loc.gov/item/sn83045232/?st=calendar|724|1866-08-16|1886-03-18|True|English|
The Daily Clarion (Meridian, Miss.) 1863-1866|sn83016892|10200723|2469-3790|Mississippi|Lauderdale|Meridian|32.365047, -88.703606|https://www.loc.gov/item/sn83016892/?st=calendar|195|1863-09-27|1866-04-01|True|English|
Daily Clarion and Standard (Jackson, Miss.) 1866-1866|sn83045180|8143732|2469-4746|Mississippi|Hinds|Jackson|32.302897, -90.183488|https://www.loc.gov/item/sn83045180/?st=calendar|20|1866-05-29|1866-08-04|True|English|
The Daily Comet (Baton Rouge, La.) 1850-1856|sn83016548|9903995|2377-7184|Louisiana|East Baton Rouge|Baton Rouge|30.443319, -91.187488|https://www.loc.gov/item/sn83016548/?st=calendar|740|1852-09-01|1856-02-02|True|English|
The Daily Commonwealth (Greenwood, Leflore Co., Miss.) 1916-1919|sn87065132|15192797|2575-453x|Mississippi|Leflore|Greenwood|33.521468, -90.192849|https://www.loc.gov/item/sn87065132/?st=calendar|358|1916-09-05|1919-05-23|True|English|
The Daily Confederate (Raleigh, N.C.) 1864-1865|sn83025813|9817024|2474-0799|North Carolina|Wake|Raleigh|35.7813033, -78.6416795|https://www.loc.gov/item/sn83025813/?st=calendar|358|1864-01-26|1865-04-11|True|English|
The Daily Corinthian (Corinth, Miss.) 1895-Current|sn86090512|14963599|2640-0421|Mississippi|Alcorn|Corinth|34.934366, -88.520628|https://www.loc.gov/item/sn86090512/?st=calendar|11|1900-06-12|1907-10-24|True|English|
The Daily Courier (Elk Point, South Dakota) 1890-1890|2018270509|1047728209|2766-7979|South Dakota|Union|Elk Point|42.686254, -96.684836|https://www.loc.gov/item/2018270509/?st=calendar|2|1890-09-25|1890-09-26|True|English|
The Daily Crescent ([New Orleans, La.]) 1848-1851|sn82015378|8807215|2377-7249|Louisiana|Orleans|New Orleans|29.9517634, -90.0746168|https://www.loc.gov/item/sn82015378/?st=calendar|1175|1848-03-05|1851-12-20|True|English|
The Daily Critic (Washington City, D.C.) 1890-1890|sn2008058170|232334430, n232334430|2157-3093|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn2008058170/?st=calendar|168|1890-05-26|1890-12-12|True|English|
Daily Critic (Washington, D.C.) 1872-1881|sn82014402|8807901|2151-3902|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn82014402/?st=calendar|15|1880-05-22|1881-06-11|True|English|
The Daily Dakota Farmers' Leader (Canton, South Dakota) 1890-1890|2013271053|858948401, n858948401|2376-3833|South Dakota|Lincoln|Canton|43.300858, -96.59272|https://www.loc.gov/item/2013271053/?st=calendar|5|1890-09-10|1890-09-13|True|English|
Daily Davenport Democrat (Davenport, Iowa) 1864-1874|sn83045646|9547525|2641-6409|Iowa|Scott|Davenport|41.523527, -90.577036|https://www.loc.gov/item/sn83045646/?st=calendar|1465|1864-04-20|1869-03-17|True|English|
Daily Davenport Gazette (Davenport, Iowa) 1854-1855|sn87058151|15582330|2643-6485|Iowa|Scott|Davenport|41.523527, -90.577036|https://www.loc.gov/item/sn87058151/?st=calendar|373|1854-10-16|1855-12-31|True|English|
Daily Democrat and News (Davenport, Iowa) 1859-1864|sn82015737|8811315|2641-6387|Iowa|Scott|Davenport|41.523527, -90.577036|https://www.loc.gov/item/sn82015737/?st=calendar|1274|1859-10-11|1864-04-19|True|English|
The Daily Democrat (Anadarko, Okla.) 190?-1908|sn97070124|37339269|2163-8063|Oklahoma|Caddo|Anadarko|35.07491, -98.243698|https://www.loc.gov/item/sn97070124/?st=calendar|241|1905-09-11|1908-11-19|True|English|
The Daily Democrat (Anadarko, Okla.) 191?-1915|sn97070127|37339396|2163-8489|Oklahoma|Caddo|Anadarko|35.07491, -98.243698|https://www.loc.gov/item/sn97070127/?st=calendar|58|1914-01-27|1914-08-31|True|English|
The Daily Dispatch (Richmond [Va.]) 1850-1884|sn84024738|2260085|2157-1260|Virginia||Richmond|37.540759, -77.433932|https://www.loc.gov/item/sn84024738/?st=calendar|9851|1852-01-14|1884-06-29|True|English|
The Daily Eagle (Wichita, Kan.) 1884-1884|sn83045705|9712980|2158-897x|Kansas|Sedgwick|Wichita|37.6860234, -97.335571|https://www.loc.gov/item/sn83045705/?st=calendar|17|1884-05-20|1884-06-07|True|English|
The Daily Empire (Dayton, Ohio) 1865-1867|sn88077244|17538645|2327-4891|Ohio|Montgomery|Dayton|39.760982, -84.192203|https://www.loc.gov/item/sn88077244/?st=calendar|490|1865-11-25|1867-07-09|True|English|
The Daily Enterprise (Livingston, Mont.) 1883-1884|sn85053382|12952982|2470-3311|Montana|Park|Livingston|45.659576, -110.5634247|https://www.loc.gov/item/sn85053382/?st=calendar|450|1883-06-04|1884-11-08|True|English|
Daily Enterprise (Wilmington, Del.) 1858-18??|sn88053078|18305723|2638-0676|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn88053078/?st=calendar|2|1858-04-03|1858-04-23|True|English|
The Daily Enterprise (Beaumont, Tex.) 1898-190?|2013271050|826765770, n826765770|2333-4614|Texas|Jefferson|Beaumont|30.0861523, -94.1020101|https://www.loc.gov/item/2013271050/?st=calendar|106|1898-09-23|1902-06-23||English|
The Daily Evansville Journal (Evansville, Ind.) 1862-1863|sn86059058|14867848|2381-3253|Indiana|Vanderburgh|Evansville|37.975708, -87.569907|https://www.loc.gov/item/sn86059058/?st=calendar|411|1862-05-21|1863-09-19|True|English|
Daily Evening Bulletin (Maysville [Ky.]) 1881-1882|sn86069124|13576287|2157-6459|Kentucky|Mason|Maysville|38.639885, -83.784323|https://www.loc.gov/item/sn86069124/?st=calendar|73|1881-11-23|1882-02-17|True|English|
Daily Evening Bulletin (Maysville [Ky.]) 1883-1887|sn87060189|15471717|2157-4944|Kentucky|Mason|Maysville|38.639885, -83.784323|https://www.loc.gov/item/sn87060189/?st=calendar|1434|1883-03-26|1887-11-01|True|English|
Daily Evening Star (Washington [D.C.]) 1852-1854|sn83045461|9574197|2328-5907|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn83045461/?st=calendar|550|1852-12-16|1854-10-07|True|English|
The Daily Exchange (Baltimore, Md.) 1858-1861|sn83009573|9114916|2378-0509|Maryland||Baltimore|39.290443, -76.612333|https://www.loc.gov/item/sn83009573/?st=calendar|1104|1858-02-22|1861-09-14|True|English|
The Daily Express (Dayton, Ohio) 1950-1955|sn88077225|17538515|2766-760x|Ohio|Montgomery|Dayton|39.760982, -84.192203|https://www.loc.gov/item/sn88077225/?st=calendar|362|1950-11-16|1952-05-26|True|English|African American
The Daily Free Press (Trenton, N.J.) 1876-1877|sn85025540|11789123|2835-401x|New Jersey|Mercer|Trenton|40.2205724, -74.7597087|https://www.loc.gov/item/sn85025540/?st=calendar|296|1876-01-18|1876-12-30|True|English|
The Daily Free Press (Stuttgart, Ark.) 1916-1921|sn90050244|21983928||Arkansas|Arkansas|Stuttgart|34.5002189, -91.5525757|https://www.loc.gov/item/sn90050244/?st=calendar|2|1917-01-15|1918-10-11||English|
The Daily Gate City (Keokuk, Iowa) 1855-1916|sn83025182|9299506|2375-3056|Iowa|Lee|Keokuk|40.413521, -91.401855|https://www.loc.gov/item/sn83025182/?st=calendar|6479|1855-05-10|1916-04-02|True|English|
The Daily Gate City and Constitution-Democrat (Keokuk, Iowa) 1916-1922|sn87057262|15277913|2375-303x|Iowa|Lee|Keokuk|40.413521, -91.401855|https://www.loc.gov/item/sn87057262/?st=calendar|1470|1916-04-03|1920-12-18|True|English|
Daily Gateway (Seward, Alaska) 1905-1905|2017218597|986788370|2692-6636|Alaska||Seward|60.1000798, -149.4421227|https://www.loc.gov/item/2017218597/?st=calendar|76|1905-08-07|1905-11-22|True|English|
The Daily Gazette (Wilmington, Del.) 1874-1883|sn82014805|8800641|2474-2031|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn82014805/?st=calendar|2832|1874-08-21|1883-12-07|True|English|
The Daily Gazette (Billings, Mont.) 1885-1900|sn85053069|11806872|2576-7097|Montana|Yellowstone|Billings|45.78265, -108.504578|https://www.loc.gov/item/sn85053069/?st=calendar|1|1894-07-01|1894-07-01|True|English|
Daily Gazette and Comet (Baton Rouge, La.) 1856-186?|sn88083120|17609906|2163-7210|Louisiana|East Baton Rouge|Baton Rouge|30.443319, -91.187488|https://www.loc.gov/item/sn88083120/?st=calendar|255|1860-01-03|1860-12-29|True|English|
The Daily Gazette-Times (Corvallis, Benton County, Or.) 1909-1921|2004260241|55143362|2470-8135|Oregon|Benton|Corvallis|44.571648, -123.277703|https://www.loc.gov/item/2004260241/?st=calendar|88|1909-08-02|1909-12-31|True|English|
Daily Gazette (Las Vegas, N.M.) 1879-1880|sn93061632|27941642|2375-5989|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn93061632/?st=calendar|172|1879-07-31|1880-08-31|True|English|
Daily Globe (St. Paul, Minn.) 1878-1884|sn83025287|9370150|1943-8990|Minnesota|Ramsey|Saint Paul|44.94441, -93.09327|https://www.loc.gov/item/sn83025287/?st=calendar|2213|1878-01-15|1884-02-09|True|English|
The Daily Green Mountain Freeman (Montpelier, Vt.) 1861-1865|sn84023210|10839917|2376-8223|Vermont|Washington|Montpelier|44.2595456, -72.5758753|https://www.loc.gov/item/sn84023210/?st=calendar|823|1861-04-15|1863-12-31|True|English|
The Daily Guard (Batesville, Ark.) 1905-1912|sn90050267|22203612|2995-4673|Arkansas|Independence|Batesville|35.777648, -91.640781|https://www.loc.gov/item/sn90050267/?st=calendar|891|1907-10-01|1912-06-29|True|English|
The Daily Herald (New-Haven [Conn.]) 1832-1841|sn82015818|8810897||Connecticut|New Haven|New Haven|41.3082517, -72.9241605|https://www.loc.gov/item/sn82015818/?st=calendar|1047|1833-07-12|1841-03-30|True|English|
The Daily Herald (Brownsville, Tex.) 1892-1897|sn86089174|13107779|1946-522x|Texas|Cameron|Brownsville|25.903046, -97.498884|https://www.loc.gov/item/sn86089174/?st=calendar|1158|1892-07-04|1897-06-30|True|English|
The Daily Herald Bulletin ([Newberry, S.C.]) 1879-1879|2012218731|798945035, n798945035|2333-1909|South Carolina|Newberry|Newberry|34.278686, -81.610092|https://www.loc.gov/item/2012218731/?st=calendar|3|1879-10-22|1879-10-24|True|English|
The Daily Herald (Honolulu, Hawaiian Islands) 1886-1887|sn85047239|12572584|2151-4062|Hawaii|Honolulu|Honolulu|21.30992, -157.858158|https://www.loc.gov/item/sn85047239/?st=calendar|281|1886-09-01|1887-07-30|True|English|
Daily Honolulu Press (Honolulu, Hawaiian Islands) 1885-1886|sn85047264|12670551|2157-3417|Hawaii|Honolulu|Honolulu|21.30992, -157.858158|https://www.loc.gov/item/sn85047264/?st=calendar|235|1885-09-01|1886-06-03|True|English|
Daily Independent (Helena, Ark.) 1874-18??|sn82015491|8820203||Arkansas|Phillips|Helena|34.529166, -90.591242|https://www.loc.gov/item/sn82015491/?st=calendar|116|1874-07-22|1874-12-31||English|
The Daily Independent (Elizabeth City, N.C.) 1936-19??|sn91068099|24205861|2577-3488|North Carolina|Pasquotank|Elizabeth City|36.3022029, -76.2232287|https://www.loc.gov/item/sn91068099/?st=calendar|295|1936-08-31|1937-08-13|True|English|
Daily Independent (Elko, Nev.) 188?-1915|sn84020355|10665985|2577-5286|Nevada|Elko|Elko|40.8357337, -115.7594561|https://www.loc.gov/item/sn84020355/?st=calendar|6209|1887-01-03|1915-03-29|True|English|
The Daily Indian Chieftain (Vinita, Ind. Ter. [Okla.]) 1891-189?|sn83025111|9244747|2472-2995|Oklahoma|Craig|Vinita|36.6387618, -95.1544373|https://www.loc.gov/item/sn83025111/?st=calendar|6|1891-09-23|1892-10-06|True|English|
The Daily Intelligencer (Seattle, Wash. Territory [i.e. Wash.]) 1876-1881|sn83045610|9563076|2376-9025|Washington|King|Seattle|47.603229, -122.33028|https://www.loc.gov/item/sn83045610/?st=calendar|1343|1876-06-05|1881-10-01|True|English|
Daily Intelligencer (Wheeling, Va. [W. Va.]) 1859-1865|sn84026845|10703943|2333-8563|West Virginia|Ohio|Wheeling|40.0639476, -80.7220019|https://www.loc.gov/item/sn84026845/?st=calendar|1718|1859-11-12|1865-06-24|True|English|
Daily Inter Mountain (Butte, Mont.) 1881-1901|sn85053057|11748540|2470-3354|Montana|Silver Bow|Butte|46.01284, -112.535583|https://www.loc.gov/item/sn85053057/?st=calendar|729|1899-01-02|1901-05-01|True|English|
The Daily Inter-Mountain (Elkins, W. Va.) 1907-1913|sn86092279|13201756||West Virginia|Randolph|Elkins|38.923908, -79.8443931|https://www.loc.gov/item/sn86092279/?st=calendar|1163|1907-10-01|1913-07-30|True|English|
Daily Iowa State Democrat (Davenport, Iowa) 1856-1859|sn82014134|8780412|2641-631x|Iowa|Scott|Davenport|41.523527, -90.577036|https://www.loc.gov/item/sn82014134/?st=calendar|866|1856-07-04|1859-10-09|True|English|
The Daily Journal (East St. Louis, Ill.) 1914-1918|sn92053738|25055436||Illinois|Saint Clair|East Saint Louis|38.622934, -90.154935|https://www.loc.gov/item/sn92053738/?st=calendar|1235|1914-05-08|1918-06-05||English|
The Daily Journal (Salem, Or.) 1899-1903|sn99063956|42908771|2163-8527|Oregon|Marion|Salem|44.939016, -123.039307|https://www.loc.gov/item/sn99063956/?st=calendar|1357|1899-06-30|1903-11-24|True|English|
Daily Kennebec Journal (Augusta, Me.) 1870-1975|sn82014248|8810696, 173714147||Maine|Kennebec|Augusta|44.307692, -69.780785|https://www.loc.gov/item/sn82014248/?st=calendar|17668|1870-01-01|1926-12-31|True|English|
The Daily Kentuckian (Hopkinsville, Ky.) 1898-1898|sn86069396|14115800|2151-4453|Kentucky|Christian|Hopkinsville|36.865586, -87.488906|https://www.loc.gov/item/sn86069396/?st=calendar|93|1898-04-29|1898-08-13|True|English|
Daily Kentuckian (Hopkinsville, Ky.) 1918-191?|sn86069397|14119528|2326-6244|Kentucky|Christian|Hopkinsville|36.865586, -87.488906|https://www.loc.gov/item/sn86069397/?st=calendar|149|1918-03-09|1918-08-29|True|English|
Daily Los Angeles Herald (Los Angeles [Calif.]) 1876-1884|sn85042459|12493525|2163-4645|California|Los Angeles|Los Angeles|34.052238, -118.243344|https://www.loc.gov/item/sn85042459/?st=calendar|1683|1878-01-03|1884-10-05|True|English|
The Daily Madisonian (Washington City [i.e. Washington, D.C.]) 1841-1845|sn84020074|10318917|2471-5263|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn84020074/?st=calendar|1043|1841-12-15|1845-04-29|True|English|
The Daily Manchester American (Manchester, N.H.) 1852-1863|sn84023814|11041714||New Hampshire|Hillsboro|Manchester|42.9909263, -71.4630908|https://www.loc.gov/item/sn84023814/?st=calendar|1431|1857-05-02|1863-03-14|True|English|
The Daily Miner (Butte, Mont.) 1879-1885|sn85053094|11922894|2576-7054|Montana|Silver Bow|Butte|46.01284, -112.535583|https://www.loc.gov/item/sn85053094/?st=calendar|1|1882-01-01|1882-01-01|True|English|
The Daily Minnesota Pioneer (St. Paul, Minn.) 1854-1855|sn84035804|11315432|2694-3786|Minnesota|Ramsey|Saint Paul|44.94441, -93.09327|https://www.loc.gov/item/sn84035804/?st=calendar|446|1854-05-01|1855-10-30|True|English|
The Daily Mississippi Clarion (Jackson, Miss.) 1866-1866|sn83045230|8151272|2469-4703|Mississippi|Hinds|Jackson|32.302897, -90.183488|https://www.loc.gov/item/sn83045230/?st=calendar|25|1866-04-04|1866-05-10|True|English|
Daily Mississippi Clarion and Standard (Jackson, Miss.) 1866-1866|sn83045231|8151724|2469-472x|Mississippi|Hinds|Jackson|32.302897, -90.183488|https://www.loc.gov/item/sn83045231/?st=calendar|23|1866-05-17|1866-08-04|True|English|
The Daily Missoulian (Missoula, Mont.) 1904-1961|sn83025316|9385382|2329-5457|Montana|Missoula|Missoula|46.872129, -113.994017|https://www.loc.gov/item/sn83025316/?st=calendar|2677|1909-01-01|1918-04-30|True|English|
The Daily Missourian (Columbia, Mo.) 1916-1917|sn89066314|19559587|2157-6548|Missouri|Boone|Columbia|38.951551, -92.328594|https://www.loc.gov/item/sn89066314/?st=calendar|347|1916-08-02|1917-09-16|True|English|
The Daily Monitor (Mount Clemens, Mich.) 1940-1942|sn96077287|35984838|2769-4143|Michigan|Macomb|Mount Clemens|42.596795, -82.878335|https://www.loc.gov/item/sn96077287/?st=calendar|308|1941-01-02|1942-04-02|True|English|
The Daily Monitor Leader (Mount Clemens, Mich.) 1942-19??|sn96077289|35998028|2769-416x|Michigan|Macomb|Mount Clemens|42.596795, -82.878335|https://www.loc.gov/item/sn96077289/?st=calendar|732|1942-04-03|1945-12-31|True|English|
The Daily Morning Alaskan (Skagway, Alaska) 1899-1904|sn87062035|15094707|2577-3984|Alaska||Skagway|59.4585538, -135.3120758|https://www.loc.gov/item/sn87062035/?st=calendar|1133|1899-02-21|1904-02-28|True|English|
The Daily Morning Astorian (Astoria, Oregon) 1883-1899|sn96061150|35655689|2163-7970|Oregon|Clatsop|Astoria|46.1890904, -123.8347121|https://www.loc.gov/item/sn96061150/?st=calendar|3921|1883-11-10|1899-09-01|True|English|
The Daily Morning Journal and Courier (New Haven, Conn.) 1894-1907|sn84020358|10667903|2474-218x|Connecticut|New Haven|New Haven|41.3082517, -72.9241605|https://www.loc.gov/item/sn84020358/?st=calendar|4216|1894-06-25|1907-12-14|True|English|
The Daily Morning Oasis (Nogales, Ariz.) 1917-1920|sn83025458|9497254|2692-7187|Arizona|Santa Cruz|Nogales|31.341931, -110.934129|https://www.loc.gov/item/sn83025458/?st=calendar|904|1917-12-01|1920-12-30|True|English|
The Daily Mountaineer (Dalles, Or.) 1861-1866|sn89055266|20683566|2333-1372|Oregon|Wasco|Dalles|45.59456, -121.17868|https://www.loc.gov/item/sn89055266/?st=calendar|171|1864-02-20|1866-06-07|True|English|
Daily Nashville Patriot (Nashville, Tenn.) 1860-1862|sn83025725|9764581|2327-865x|Tennessee|Davidson|Nashville|36.1663493, -86.7790541|https://www.loc.gov/item/sn83025725/?st=calendar|463|1860-06-05|1862-03-26|True|English|
Daily Nashville Patriot (Nashville, Tenn.) 1857-1858|sn96091000|34619557|2327-8501|Tennessee|Davidson|Nashville|36.1663493, -86.7790541|https://www.loc.gov/item/sn96091000/?st=calendar|323|1857-01-15|1858-01-30|True|English|
The Daily Nashville True Whig (Nashville, Tenn.) 1851-1855|sn86071224|13311256|2327-8412|Tennessee|Davidson|Nashville|36.1663493, -86.7790541|https://www.loc.gov/item/sn86071224/?st=calendar|125|1855-07-02|1855-11-27|True|English|
Daily Nashville Union (Nashville, Tenn.) 1862-1862|sn85033708|12221467|2165-932x|Tennessee|Davidson|Nashville|36.1663493, -86.7790541|https://www.loc.gov/item/sn85033708/?st=calendar|54|1862-04-13|1862-06-18|True|English|
Daily National Democrat (Little Rock, Ark.) 1864-1865|sn82014888|8794655||Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn82014888/?st=calendar|11|1864-10-04|1865-03-22||English|
Daily National Democrat (Marysville, Calif.) 1858-1861|sn84038814|11534817|2642-0740|California|Yuba|Marysville|39.141551, -121.587688|https://www.loc.gov/item/sn84038814/?st=calendar|986|1858-08-13|1861-10-27|True|English|
Daily National Era (Washington, D.C.) 1854-1854|sn86053546|4364562|2471-5328|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn86053546/?st=calendar|185|1854-01-02|1854-08-05|True|English|African American
Daily National Intelligencer (Washington City [D.C.]) 1813-1869|sn83026172|2260099|2641-1989|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn83026172/?st=calendar|17526|1813-01-01|1870-01-08|True|English|
Daily National Intelligencer and Washington Express (Washington [D.C.]) 1869-1870|sn95079605|11337738||District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn95079605/?st=calendar|86|1869-09-20|1869-12-31||English|
Daily National Republican (Washington, D.C.) 1862-1866|sn86053570|13879073|2158-2831|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn86053570/?st=calendar|994|1862-11-10|1866-03-31|True|English|
Daily National Republican (Washington City [D.C.]) 1870-1872|sn86053572|13888533|2158-2858|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn86053572/?st=calendar|426|1870-01-14|1872-11-25|True|English|
The Daily National Whig (Washington, D.C.) 1847-1849|sn82014405|8807698|2381-0351|District of Columbia||Washington|38.8920621, -77.0199124|https://www.loc.gov/item/sn82014405/?st=calendar|254|1847-08-09|1849-06-20|True|English|
Daily New Dominion (Morgantown, W. Va.) 1897-1906|sn86092151|13118940|2832-689x|West Virginia|Monongalia|Morgantown|39.6298107, -79.955946|https://www.loc.gov/item/sn86092151/?st=calendar|1928|1897-09-07|1903-12-31|True|English|
The Daily News (Winnsboro, S.C.) 1865-1865|sn92065574|26155959|2333-2808|South Carolina|Fairfield|Winnsboro|34.373043, -81.084114|https://www.loc.gov/item/sn92065574/?st=calendar|6|1865-02-13|1865-02-18|True|English|
